Date_ID,Date_Value,Day,Month,Month_Name,Year,Day_Of_Week
108,2025-01-26,26,1,January,2025,Sunday
109,2025-02-20,20,2,February,2025,Thursday
110,2025-03-28,28,3,March,2025,Friday
111,2025-04-26,26,4,April,2025,Saturday
112,2025-02-08,8,2,February,2025,Saturday
113,2025-05-29,29,5,May,2025,Thursday
114,2025-06-03,3,6,June,2025,Tuesday
115,2025-07-19,19,7,July,2025,Saturday
116,2025-04-20,20,4,April,2025,Sunday
117,2025-05-28,28,5,May,2025,Wednesday
118,2025-05-25,25,5,May,2025,Sunday
119,2025-06-28,28,6,June,2025,Saturday
120,2025-01-31,31,1,January,2025,Friday
121,2025-05-09,9,5,May,2025,Friday
122,2025-05-31,31,5,May,2025,Saturday
123,2025-03-26,26,3,March,2025,Wednesday
124,2025-02-26,26,2,February,2025,Wednesday
125,2025-03-03,3,3,March,2025,Monday
126,2025-01-22,22,1,January,2025,Wednesday
127,2025-06-16,16,6,June,2025,Monday
128,2025-03-27,27,3,March,2025,Thursday
129,2025-02-25,25,2,February,2025,Tuesday
130,2025-05-30,30,5,May,2025,Friday
131,2025-03-17,17,3,March,2025,Monday
132,2025-07-13,13,7,July,2025,Sunday
133,2025-02-09,9,2,February,2025,Sunday
134,2025-07-21,21,7,July,2025,Monday
135,2025-08-06,6,8,August,2025,Wednesday
136,2025-04-28,28,4,April,2025,Monday
137,2025-06-26,26,6,June,2025,Thursday
138,2025-04-17,17,4,April,2025,Thursday
139,2025-01-03,3,1,January,2025,Friday
140,2025-04-23,23,4,April,2025,Wednesday
141,2025-01-05,5,1,January,2025,Sunday
142,2025-01-25,25,1,January,2025,Saturday
143,2025-01-12,12,1,January,2025,Sunday
144,2025-06-24,24,6,June,2025,Tuesday
145,2025-02-18,18,2,February,2025,Tuesday
146,2025-01-24,24,1,January,2025,Friday
147,2025-06-19,19,6,June,2025,Thursday
148,2025-05-20,20,5,May,2025,Tuesday
149,2025-07-23,23,7,July,2025,Wednesday
150,2025-02-19,19,2,February,2025,Wednesday
151,2025-02-06,6,2,February,2025,Thursday
152,2025-02-07,7,2,February,2025,Friday
153,2025-05-24,24,5,May,2025,Saturday
154,2025-06-02,2,6,June,2025,Monday
155,2025-08-12,12,8,August,2025,Tuesday
156,2025-05-07,7,5,May,2025,Wednesday
157,2025-03-22,22,3,March,2025,Saturday
158,2025-02-17,17,2,February,2025,Monday
159,2025-07-09,9,7,July,2025,Wednesday
160,2025-03-25,25,3,March,2025,Tuesday
161,2025-07-15,15,7,July,2025,Tuesday
162,2025-07-01,1,7,July,2025,Tuesday
163,2025-05-17,17,5,May,2025,Saturday
164,2025-01-15,15,1,January,2025,Wednesday
165,2025-01-18,18,1,January,2025,Saturday
166,2025-01-20,20,1,January,2025,Monday
167,2025-01-29,29,1,January,2025,Wednesday
168,2025-08-04,4,8,August,2025,Monday
169,2025-02-13,13,2,February,2025,Thursday
170,2025-06-14,14,6,June,2025,Saturday
171,2025-03-18,18,3,March,2025,Tuesday
172,2025-06-18,18,6,June,2025,Wednesday
173,2025-07-22,22,7,July,2025,Tuesday
174,2025-07-25,25,7,July,2025,Friday
175,2025-04-15,15,4,April,2025,Tuesday
176,2025-04-01,1,4,April,2025,Tuesday
177,2025-03-16,16,3,March,2025,Sunday
178,2025-05-08,8,5,May,2025,Thursday
179,2025-05-14,14,5,May,2025,Wednesday
180,2025-01-23,23,1,January,2025,Thursday
181,2025-07-26,26,7,July,2025,Saturday
182,2025-05-18,18,5,May,2025,Sunday
183,2025-08-14,14,8,August,2025,Thursday
184,2025-02-14,14,2,February,2025,Friday
185,2025-05-23,23,5,May,2025,Friday
186,2025-07-02,2,7,July,2025,Wednesday
187,2025-01-07,7,1,January,2025,Tuesday
188,2025-03-20,20,3,March,2025,Thursday
189,2025-07-29,29,7,July,2025,Tuesday
190,2025-07-07,7,7,July,2025,Monday
191,2025-06-23,23,6,June,2025,Monday
192,2025-06-29,29,6,June,2025,Sunday
193,2025-07-31,31,7,July,2025,Thursday
194,2025-06-04,4,6,June,2025,Wednesday
195,2025-08-05,5,8,August,2025,Tuesday
196,2025-03-15,15,3,March,2025,Saturday
197,2025-01-09,9,1,January,2025,Thursday
198,2025-07-04,4,7,July,2025,Friday
199,2025-05-02,2,5,May,2025,Friday
200,2025-02-24,24,2,February,2025,Monday
